trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",25,0,-141.49430152149108,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,3,-77.18896311526913,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",20,0,-60.778512564348986,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",25,0,-83.00451915917192,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",25,0,-44.96796238418132,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",30,5,-11.771856754978549,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",20,0,-144.34284848952888,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,0,-132.11559123686675,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,6,-27.615959520859427,"{0: 9, 1: 4, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",20,0,-61.216518678583995,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",25,0,-69.29071657892644,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",25,0,-106.56016196491598,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",20,0,-50.21979223612751,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",20,0,-101.37841262242377,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",25,0,-7.186255166842708,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",20,0,-1.244607598700071,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",25,0,-64.43255465675345,"{0: 17, 1: 6, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",20,0,10.937404001653032,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",25,0,11.940336383745759,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': -3.191891195797325e-16}",30,0,30.433896967973517,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,11.062473437208435,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,0,20.843429940805315,"{0: 30, 1: 5, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,12.190776428305353,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,4,-9.049214856336352,"{0: 11, 1: 5, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,23.877339146890964,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,25.355254027088975,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,14.330079979207008,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,7,22.414094637812386,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-15.072442158038008,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,22.33047460010577,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
