trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.985}",30,0,-51.39722075552076,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.970225}",25,0,-158.05099165986357,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9556716249999999}",35,0,-174.2731258846621,"{0: 20, 1: 2, 2: 11, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.941336550625}",25,0,-87.88967317373088,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9272165023656249}",30,0,-84.67303949327062,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9133082548301406}",20,0,-71.35069348671861,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8996086310076884}",30,1,-163.52906067364046,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.8861145015425731}",20,0,-63.355283708812614,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8728227840194345}",20,0,-100.48361123565087,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.859730442259143}",25,0,-134.15704809814787,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8468344856252558}",25,10,-32.382452846635466,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.834131968340877}",25,0,-126.9472330698363,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8216199888157638}",30,0,-85.96760272368417,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8092956889835273}",25,0,-94.1082923228751,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7971562536487744}",25,0,-99.04388464919109,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7851989098440427}",30,0,-115.52208467494455,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.7734209261963821}",25,0,-67.74059449555276,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.7618196123034364}",25,5,-21.089947426344303,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.7503923181188848}",30,11,-49.22468913328812,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.7391364333471016}",25,1,-8.338369136108685,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.728049386846895}",30,24,11.821520394846049,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
