trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-163.08207604232086,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,10,-63.23157461077432,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-197.52962610364668,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,11,-3.9845405183610065,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-104.9535277934117,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-44.43168239722453,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-136.79988307672167,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-141.9191497752986,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-122.63280815199424,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-114.50716577774469,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-222.15952195611334,"{0: 12, 1: 7, 2: 6, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,16,-74.85486915225614,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-105.13231918114495,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-195.85204116273465,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,6,-60.08430164933547,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-85.22072738979652,"{0: 4, 1: 0, 2: 3, 3: 3, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-93.92981323532746,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-36.77922014396694,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-201.75658405879742,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,16,5.757433284038232,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-64.4868420658553,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-139.59779755465564,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-64.19441469153548,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-92.38025168234181,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-69.53376911237766,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-126.07615621870939,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-259.8181560407742,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-249.80769459403052,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",25,15,-32.6031258830166,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-130.40072718433103,"{0: 13, 1: 3, 2: 5, 3: 4, 4: 0}",0
